2699	Tシャツ	36
4393	○	25
321	あたり	133
730	あたる	48
276	あと	351
1239	あなた	606
1313	あまり	91
367	あれ	135
871	い	39
1533	いかが	399
1131	いくつ	175
467	いくら	45
3399	いじめ	23
1670	いずれ	158
4287	いち	20
4258	いちご	20
2657	いちばん	28
1146	いっぱい	63
941	いつ	261
268	いつか	55
2369	いま	235
2109	いろいろ	112
4088	いわく	45
1686	うえ	75
3146	うた	34
1272	うち	408
550	おかけ	22
659	おかげ	81
4939	おしゃべり	20
1296	おしゃれ	68
3968	おじさん	26
1275	おすすめ	663
4176	おなじみ	67
3431	おまえ	20
381	おまかせ	33
3222	おまけ	32
1832	お世話	31
497	お互い	129
3944	お伝え	52
4616	お供	29
4639	お出かけ	28
284	お前	99
3738	お嬢様	34
3408	お子さん	21
2339	お客	105
2436	お客様	219
4693	お手数	54
1081	お披露目	27
2006	お断り	23
714	お母さん	32
2345	お気に入り	170
4323	お洒落	21
1114	お父さん	62
2158	お知らせ	338
580	お笑い	77
4960	お答え	62
2481	お腹	53
3353	お茶	38
2500	お菓子	35
551	お詫び	27
1507	お話	118
2703	お話し	21
4580	お買い得	20
3642	お越し	42
4286	お送り	76
1665	お金	176
272	お願い	228
4841	かけがえ	24
2402	かた	24
4636	かたち	28
3699	かな	21
1221	かなり	91
2443	かも	23
1811	かわいそう	31
2704	か月	49
2922	がち	207
4904	がわら	20
299	きっかけ	210
785	きり	29
3853	きれい	91
3620	くせ	28
96	くん	68
1677	げ	41
3869	こ	43
1666	こいつ	36
674	ここ	761
1117	こだわり	189
1344	こちら	543
1015	こっち	58
4206	この世	35
1641	これら	224
3555	ころ	35
345	ごと	211
2788	ごはん	25
4142	ごろ	22
4174	ご存じ	24
1846	ご存知	45
3092	ご覧	129
1070	ご飯	45
2336	さくら	27
42	さっき	21
2833	さま	107
3322	さまざま	220
2646	さら	23
4531	さらい	88
3445	さりげ	26
2757	さわやか	26
358	さん	1248
2898	さんま	23
4816	しなやか	23
2156	しょうが	30
2133	すぎ	67
546	すべて	383
2326	せい	101
227	そう	1326
136	そこ	485
3923	そちら	32
2368	そのもの	123
456	その他	468
294	その後	414
2442	その間	25
3661	そば	33
121	それ	1358
1418	それぞれ	503
1991	それなり	52
1981	それら	82
709	たくさん	324
1894	ただ	87
1685	たち	1171
4056	たっぷり	58
2325	たび	75
2055	たま	63
2269	たん	23
243	だめ	22
3364	だらけ	55
103	ちゃん	283
675	っぱなし	24
3037	っぷり	44
4510	つかさ	24
1266	つき	72
3098	つけ	34
3958	つながり	33
3303	つぶやき	89
1270	つまり	31
1093	つもり	114
2992	づくり	36
3489	とおり	65
107	とき	741
3477	とこ	24
261	ところ	1119
165	とも	102
2195	とんでも	50
1269	どおり	20
155	どこ	565
3019	どころ	26
2690	どちら	245
700	どっち	59
956	どれ	269
920	なか	145
4119	なじみ	26
2590	なでしこ	92
448	なに	122
4661	なめらか	41
2107	ならでは	182
1977	なり	23
445	なん	211
3963	ぬいぐるみ	35
4733	ねこ	21
91	はじめ	311
865	はず	458
2425	はるか	55
3867	ひと	51
98	ひとつ	322
4958	ひととき	23
3667	ひとり	87
1065	びっくり	52
4607	ぴったり	55
2308	ふう	29
4773	ふたり	66
1861	ふだん	21
954	ぶり	275
702	ほう	319
3410	ほか	709
574	ほど	31
3503	まさみ	23
1914	まとめ	200
821	まとも	26
877	まま	423
2881	まれ	32
3535	まわり	34
312	みたい	365
3803	みな	21
658	みなさん	167
1969	みなみ	23
622	みんな	403
939	め	63
4217	もち	29
836	もと	168
2358	もも	31
975	もん	138
2234	やつ	50
4010	やりがい	26
950	やりとり	52
930	やり取り	56
2232	やり方	40
1116	やる気	39
